"fk_event_id";"fk_result_id";"fk_rider_id";"fk_circuit_id";"fk_team_id";"position";"points";"gap_lap";"total_laps";"rider_type";"ground_condition";"humidity_condition";"weather_condition";"track_condition";"date";"month";"year";"pk_race_id";"load_date";"gap_first";"time";"average_speed"
"ba97f81a-1f2c-4fc9-a798-4d835993beda";"084d4734-04f0-45fa-a3a5-e15dc1041904";"407c88c6-c967-4796-bb94-18bb23f91d63";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"07/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"24/6/1972";"6";"1972";"9933d533ed5ec6ad463a71dc8d192cd3b691cabe0919838fa095ace286ae5c03";"17/9/2024 11:58";"0.000 s";"0 s";"0 km/h"
"8b9803b2-d018-4533-a815-5f066905161f";"ff87a8f7-0d46-42be-bf43-57c0c774782a";"60ea697d-b661-42cf-9d7b-ac81cf837b02";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"26/6/1971";"6";"1971";"ae1d48858fd9a7ddd6bf3919eb7a0bf53953b0631f1afd0a707b695bb26fe0fd";"17/9/2024 11:58";"0.000 s";"0 s";"0 km/h"
"e9ba4d4c-ff89-4630-9f9a-d4290613eb10";"5b67233d-0888-4233-80e0-339cce01842d";"2a8457e6-43c9-4727-8597-4be3a5c57ba6";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"08/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"28/6/1969";"6";"1969";"cbd89ed5665b1639ac7dbb3aaf577201d2f373176504afd8be5143af068e989a";"17/9/2024 08:56";"0.000 s";"0 s";"0 km/h"
"c144d18e-44d2-4350-a0cd-bc4474e9de5b";"de0f8459-1e15-438e-b643-1edf8a671d2f";"2de044bd-a18a-43c6-87ae-384ab1475008";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"10/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"24/6/1978";"6";"1978";"e251a1af2b2cc37263fd2d187e2787df618406cd3b48a855d270416f4e0d126a";"17/9/2024 16:29";"0.000 s";"0 s";"0 km/h"
"ba97f81a-1f2c-4fc9-a798-4d835993beda";"9ea773d4-38f7-4578-baa1-d8d042981ecb";"60ea697d-b661-42cf-9d7b-ac81cf837b02";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"06/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"24/6/1972";"6";"1972";"fa18e1ed217a0a72018dd008f7913d2baa4a80d207d38c2ff793597582433588";"17/9/2024 11:58";"0.000 s";"0 s";"0 km/h"
"ba97f81a-1f2c-4fc9-a798-4d835993beda";"af29a2d1-a4b7-4fe4-9a90-ce421426e225";"e891054f-4572-4069-9bcc-c1430c0ef33a";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"10/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"24/6/1972";"6";"1972";"150c37ca07ffac6b490f21fd5bf496fcfb7b81f3e2fbd90f3210a49fefcf829f";"17/9/2024 11:58";"0.000 s";"0 s";"0 km/h"
"0362108e-2bb4-417d-b4b3-335c690a96b4";"548dfa13-49e4-4a51-ad25-c72170f61605";"dd8048e3-dedf-4a4c-a703-cdc7289ab911";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"10/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"29/6/1974";"6";"1974";"1c0d3ce58f50f59a46c2861ccc5fdf5bde1096f547fe11e94d8da54333b2c997";"17/9/2024 11:58";"0.000 s";"0 s";"0 km/h"
"2b2da471-2a59-481b-8db0-b234fa22083b";"18aca4c2-bbe9-4bbc-9191-401e82533698";"90dba7c8-f11d-4b35-b6a9-0b6f9e04dfe1";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"07/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"23/6/1979";"6";"1979";"4024ca6f450760bc47555f61d6bcb83e21d771caa5b335f54c1e9a4a104d7019";"17/9/2024 16:29";"0.000 s";"0 s";"0 km/h"
"83643128-4233-466d-96a7-aa35cc682c3a";"bab2faca-1340-4bbb-9e8f-911b448fa013";"c57c6e30-e212-4476-aa2a-fc67ed10838b";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"28/6/1986";"6";"1986";"45911c0783a54bce44ef8bf0b944369c22302e67d9ff2a5e76930dbb741ff1e1";"18/9/2024 16:25";"0.000 s";"0 s";"0 km/h"
"ba97f81a-1f2c-4fc9-a798-4d835993beda";"656268e5-fafe-41c2-9ed8-398b684ffa31";"520cdc62-1fdb-49c0-b3b9-80efeee6fe2c";"f4f9b0e8-1319-4d4f-a5ae-6cf193b01fca";"Sin datos";"09/01/1900";"0";"0";"0";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"Sin datos";"24/6/1972";"6";"1972";"4865d795de08dd83d8e4063e24c979cc783a157d12516416a9a91410b1ad9324";"17/9/2024 11:58";"0.000 s";"0 s";"0 km/h"
